"Disease","a"
"Fungal infection","itching"
"Fungal infection"," skin_rash"
"Fungal infection","itching"
"Fungal infection","itching"
"Fungal infection","itching"
"Fungal infection"," skin_rash"
"Fungal infection","itching"
"Fungal infection","itching"
"Fungal infection","itching"
"Fungal infection","itching"
"Allergy"," continuous_sneezing"
"Allergy"," shivering"
"Allergy"," continuous_sneezing"
"Allergy"," continuous_sneezing"
"Allergy"," continuous_sneezing"
"Allergy"," shivering"
"Allergy"," continuous_sneezing"
"Allergy"," continuous_sneezing"
"Allergy"," continuous_sneezing"
"Allergy"," continuous_sneezing"
"GERD"," stomach_pain"
"GERD"," stomach_pain"
"GERD"," stomach_pain"
"GERD"," stomach_pain"
"GERD"," stomach_pain"
"GERD"," stomach_pain"
"GERD"," acidity"
"GERD"," stomach_pain"
"GERD"," stomach_pain"
"GERD"," stomach_pain"
"Chronic cholestasis","itching"
"Chronic cholestasis"," vomiting"
"Chronic cholestasis","itching"
"Chronic cholestasis","itching"
"Chronic cholestasis","itching"
"Chronic cholestasis","itching"
"Chronic cholestasis","itching"
"Chronic cholestasis","itching"
"Chronic cholestasis","itching"
"Chronic cholestasis","itching"
"Drug Reaction","itching"
"Drug Reaction","itching"
"Drug Reaction","itching"
"Drug Reaction","itching"
"Drug Reaction","itching"
"Drug Reaction"," skin_rash"
"Drug Reaction","itching"
"Drug Reaction","itching"
"Drug Reaction","itching"
"Drug Reaction","itching"
"Peptic ulcer diseae"," vomiting"
"Peptic ulcer diseae"," vomiting"
"Peptic ulcer diseae"," indigestion"
"Peptic ulcer diseae"," vomiting"
"Peptic ulcer diseae"," vomiting"
"Peptic ulcer diseae"," vomiting"
"Peptic ulcer diseae"," vomiting"
"Peptic ulcer diseae"," vomiting"
"Peptic ulcer diseae"," vomiting"
"Peptic ulcer diseae"," vomiting"
"AIDS"," muscle_wasting"
"AIDS"," patches_in_throat"
"AIDS"," muscle_wasting"
"AIDS"," muscle_wasting"
"AIDS"," muscle_wasting"
"AIDS"," muscle_wasting"
"AIDS"," muscle_wasting"
"AIDS"," patches_in_throat"
"AIDS"," muscle_wasting"
"AIDS"," muscle_wasting"
"Diabetes "," fatigue"
"Diabetes "," fatigue"
"Diabetes "," weight_loss"
"Diabetes "," fatigue"
"Diabetes "," fatigue"
"Diabetes "," fatigue"
"Diabetes "," fatigue"
"Diabetes "," fatigue"
"Diabetes "," fatigue"
"Diabetes "," fatigue"
"Gastroenteritis"," vomiting"
"Gastroenteritis"," vomiting"
"Gastroenteritis"," sunken_eyes"
"Gastroenteritis"," vomiting"
"Gastroenteritis"," vomiting"
"Gastroenteritis"," vomiting"
"Gastroenteritis"," vomiting"
"Gastroenteritis"," sunken_eyes"
"Gastroenteritis"," vomiting"
"Gastroenteritis"," vomiting"
"Bronchial Asthma"," fatigue"
"Bronchial Asthma"," cough"
"Bronchial Asthma"," fatigue"
"Bronchial Asthma"," fatigue"
"Bronchial Asthma"," fatigue"
"Bronchial Asthma"," fatigue"
"Bronchial Asthma"," fatigue"
"Bronchial Asthma"," fatigue"
"Bronchial Asthma"," cough"
"Bronchial Asthma"," fatigue"
"Hypertension "," headache"
"Hypertension "," chest_pain"
"Hypertension "," headache"
"Hypertension "," headache"
"Hypertension "," headache"
"Hypertension "," headache"
"Hypertension "," headache"
"Hypertension "," chest_pain"
"Hypertension "," headache"
"Hypertension "," headache"
"Migraine"," acidity"
"Migraine"," indigestion"
"Migraine"," acidity"
"Migraine"," acidity"
"Migraine"," acidity"
"Migraine"," acidity"
"Migraine"," acidity"
"Migraine"," acidity"
"Migraine"," acidity"
"Migraine"," acidity"
"Cervical spondylosis"," back_pain"
"Cervical spondylosis"," back_pain"
"Cervical spondylosis"," weakness_in_limbs"
"Cervical spondylosis"," back_pain"
"Cervical spondylosis"," back_pain"
"Cervical spondylosis"," back_pain"
"Cervical spondylosis"," back_pain"
"Cervical spondylosis"," back_pain"
"Cervical spondylosis"," weakness_in_limbs"
"Cervical spondylosis"," back_pain"
"Paralysis (brain hemorrhage)"," vomiting"
"Paralysis (brain hemorrhage)"," vomiting"
"Paralysis (brain hemorrhage)"," headache"
"Paralysis (brain hemorrhage)"," vomiting"
"Paralysis (brain hemorrhage)"," vomiting"
"Paralysis (brain hemorrhage)"," vomiting"
"Paralysis (brain hemorrhage)"," vomiting"
"Paralysis (brain hemorrhage)"," headache"
"Paralysis (brain hemorrhage)"," vomiting"
"Paralysis (brain hemorrhage)"," vomiting"
"Jaundice","itching"
"Jaundice","itching"
"Jaundice"," vomiting"
"Jaundice","itching"
"Jaundice","itching"
"Jaundice","itching"
"Jaundice","itching"
"Jaundice","itching"
"Jaundice","itching"
"Jaundice","itching"
"Malaria"," chills"
